"Año","Departamento","Producto","Area (ha)","Produccion (ton)","Rendimiento (ha/ton)","Produccion Nacional (ton)","Area Nacional (ha)"
"2010","ANTIOQUIA","CAFE","111,602.71","121,253.38","1.09","15.56","14.99"
"2010","ARAUCA","CAFE","0.00","0.00","0.00","0.00","0.00"
"2010","BOLIVAR","CAFE","850.00","510.00","0.60","0.07","0.11"
"2010","BOYACA","CAFE","9,427.00","7,083.07","0.75","0.91","1.27"
"2010","CALDAS","CAFE","72,240.58","95,957.90","1.33","12.31","9.71"
"2010","CAQUETA","CAFE","2,536.00","2,902.50","1.14","0.37","0.34"
"2010","CASANARE","CAFE","2,198.00","2,564.86","1.17","0.33","0.30"
"2010","CAUCA","CAFE","55,162.00","45,113.00","0.82","5.79","7.41"
"2010","CESAR","CAFE","22,489.50","13,276.08","0.59","1.70","3.02"
"2010","CHOCO","CAFE","157.50","98.00","0.62","0.01","0.02"
"2010","CUNDINAMARCA","CAFE","44,264.16","37,214.80","0.84","4.78","5.95"
"2010","HUILA","CAFE","87,139.53","104,336.56","1.20","13.39","11.71"
"2010","LA GUAJIRA","CAFE","4,207.00","2,393.00","0.57","0.31","0.57"
"2010","MAGDALENA","CAFE","17,000.00","13,600.00","0.80","1.75","2.28"
"2010","META","CAFE","2,326.00","2,221.90","0.96","0.29","0.31"
"2010","NARIÑO","CAFE","23,504.05","24,594.11","1.05","3.16","3.16"
"2010","NORTE DE SANTANDER","CAFE","30,731.96","22,111.65","0.72","2.84","4.13"
"2010","PUTUMAYO","CAFE","24.00","26.70","1.11","0.00","0.00"
"2010","QUINDIO","CAFE","18,159.00","21,065.00","1.16","2.70","2.44"
"2010","RISARALDA","CAFE","47,308.00","72,091.00","1.52","9.25","6.36"
"2010","SANTANDER","CAFE","39,000.64","27,094.16","0.69","3.48","5.24"
"2010","TOLIMA","CAFE","84,658.70","94,230.20","1.11","12.09","11.37"
"2010","VALLE DEL CAUCA","CAFE","69,332.10","69,496.65","1.00","8.92","9.31"
"2011","ANTIOQUIA","CAFE","106,419.57","115,267.98","1.08","18.00","14.94"
"2011","ARAUCA","CAFE","10.00","12.00","1.20","0.00","0.00"
"2011","BOLIVAR","CAFE","850.00","510.00","0.60","0.08","0.12"
"2011","BOYACA","CAFE","8,441.74","5,643.39","0.67","0.88","1.18"
"2011","CALDAS","CAFE","66,331.61","78,805.87","1.19","12.31","9.31"
"2011","CAQUETA","CAFE","2,810.00","2,528.40","0.90","0.39","0.39"
"2011","CASANARE","CAFE","2,081.50","2,023.50","0.97","0.32","0.29"
"2011","CAUCA","CAFE","54,246.42","41,645.39","0.77","6.50","7.61"
"2011","CESAR","CAFE","22,350.00","11,035.85","0.49","1.72","3.14"
"2011","CHOCO","CAFE","157.50","98.00","0.62","0.02","0.02"
"2011","CUNDINAMARCA","CAFE","37,478.87","32,780.35","0.87","5.12","5.26"
"2011","HUILA","CAFE","78,792.21","85,150.66","1.08","13.30","11.06"
"2011","LA GUAJIRA","CAFE","4,100.00","1,933.00","0.47","0.30","0.58"
"2011","MAGDALENA","CAFE","16,577.00","13,301.60","0.80","2.08","2.33"
"2011","META","CAFE","2,578.00","2,533.75","0.98","0.40","0.36"
"2011","NARIÑO","CAFE","24,263.80","24,073.95","0.99","3.76","3.41"
"2011","NORTE DE SANTANDER","CAFE","21,520.45","12,332.00","0.57","1.93","3.02"
"2011","PUTUMAYO","CAFE","40.00","45.80","1.15","0.01","0.01"
"2011","QUINDIO","CAFE","20,139.30","20,814.11","1.03","3.25","2.83"
"2011","RISARALDA","CAFE","44,733.64","49,042.31","1.10","7.66","6.28"
"2011","SANTANDER","CAFE","37,282.04","22,089.82","0.59","3.45","5.23"
